track_id,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,is_genre
4NjCELMhlCnceQMnb80ggL,1,196680,0.325,0.266,4,-16.968,0,0.0298,0.803,9.29e-5,0.0997,0.385,147.198,3,0
2SQko9IKeFSv0MV7bF6edD,26,85152,0.631,0.743,6,-7.385,0,0.608,0.812,0,0.861,0.521,98.137,4,0
28mwPMWi59y5SIwOlRHGwi,0,192000,0.501,0.836,11,-3.587,0,0.0488,0.208,0,0.152,0.617,159.849,4,1
0LLhXDW4rqJehmII52vSHE,43,246235,0.466,0.279,9,-10.964,0,0.0263,0.38,0.48,0.0763,0.0588,96.969,4,0
5XwnegeB8AsGCi5Yu9APR1,2,236990,0.542,0.68,8,-4.434,1,0.0285,0.175,0,0.093,0.878,167.966,4,1
59I4zeY0veIyBye6V8Qhsw,43,214813,0.557,0.585,7,-6.753,1,0.0396,0.572,0,0.972,0.599,82.617,1,0
14ZoSQzMmy8LwCmCt7NynJ,2,308373,0.791,0.534,9,-13.261,0,0.0355,0.0749,1.99e-6,0.156,0.963,127.488,4,1
3PKmssVlLJD7uwIgbWdSPg,0,202613,0.448,0.932,7,-4.424,1,0.0976,0.0174,0,0.347,0.709,187.813,4,1
7fs0rdxapzhN6yEaZve2UZ,20,356571,0.629,0.8,3,-4.82,0,0.0418,0.0358,0.6,0.0931,0.0947,87.51,4,0
1lRMtjKpLpyQdDALnXyGNr,0,354060,0.233,0.981,11,-5.769,0,0.105,2.82e-4,0.818,0.0717,0.17,145.009,4,0
4BPcGND7l0vR0D2Ky8mJP1,0,211605,0.563,0.576,6,-6.495,1,0.0401,0.171,0,0.158,0.412,75.019,4,1
3yZ99lIQVH3U8EuNtieRWn,0,226266,0.568,0.562,7,-6.12,1,0.0258,0.23,3.41e-6,0.119,0.178,125.981,3,1
4YrxFUrsaYeVujesfNRvVZ,48,277346,0.823,0.608,6,-6.447,0,0.0564,0.154,5.74e-6,0.563,0.433,98.006,4,0
1LJt4Lh6SXMoe7XKTHUJ7o,0,201541,0.488,0.175,8,-9.5,1,0.0491,0.952,1.01e-6,0.105,0.201,117.291,4,1
1ju7EsSGvRybSNEsRvc7qY,74,356626,0.422,0.752,6,-8.682,1,0.0449,0.0366,1.19e-4,0.129,0.403,120.471,4,1
6ptIxIDLyhSizHXT84IyOs,36,217845,0.379,0.926,10,-9.116,0,0.123,0.00102,0.883,0.0877,0.0402,195.056,3,0
5Sy1r6KDFCzuYeUqH9n0w3,0,169453,0.738,0.869,9,-5.118,1,0.0401,0.123,0,0.277,0.92,125.071,4,1
7LMWOSOTxSMxABmkpG2YK3,0,143375,0.785,0.523,7,-5.853,1,0.0489,0.144,0,0.117,0.134,100.002,4,0
2yqTEHKrGZQ4TjdrW83E8p,0,215920,0.431,0.373,2,-10.76,1,0.0277,0.16,1.41e-5,0.259,0.0884,85.548,1,1
1bfsu7i8jSRy1sY5be2Nuh,36,182613,0.703,0.479,9,-7.521,0,0.0495,0.756,0,0.139,0.517,111.988,4,0
2x1GoZKREbFkQJ8FUaz3Lc,47,560242,0.745,0.726,6,-7.816,0,0.044,0.0706,0.868,0.0731,0.259,135,4,0
0JtUukp0GQJLORAK361mFn,30,214962,0.298,0.994,1,-4.937,0,0.173,0.123,0,0.142,0.134,155.824,4,0
6mg60qQGYPjJHHUv0Sl5df,25,258906,0.557,0.792,6,-4.761,0,0.0428,8.03e-4,0.0664,0.0537,0.709,135.013,4,0
7yBcGJFP5bAMpAfToEm0dm,45,201026,0.459,0.89,9,-4.448,0,0.044,0.00245,7.23e-6,0.306,0.809,181.837,4,1
4L9Ds4mpD3SuYoWwFUlv16,73,185200,0.362,0.882,3,-3.717,1,0.0973,0.0791,0,0.15,0.864,199.811,4,1
5Vnx0s7H73V3l6qPWvbHIM,4,228013,0.369,0.192,4,-12.151,0,0.04,0.555,8.35e-6,0.0954,0.148,175.212,3,1
35ES4VMxOzu4TtYulIL52v,0,169440,0.472,0.701,2,-4.563,1,0.0369,0.0387,0,0.107,0.515,79.805,4,1
6NAn7eEExGOlf37BW9sZdJ,42,157520,0.416,0.97,4,-5.106,0,0.0639,0.0148,3.32e-6,0.328,0.733,175.215,4,0
4zqlCicLICAUkPYYqnPbkn,41,386000,0.535,0.732,6,-6.269,0,0.0455,0.00584,0.502,0.0604,0.493,150.025,4,0
3mAplvB02mSFTDqvhg6c3V,38,219826,0.864,0.828,0,-5.543,1,0.0867,0.122,0,0.093,0.791,119.987,4,0
4QGCcm1t0HyKdl8ocOyD6F,0,200662,0.386,0.124,0,-9.736,1,0.0306,0.928,0,0.116,0.46,94.166,3,1
38yfd9XvT1rFtO7DKb1EKy,25,254880,0.571,0.923,0,-3.639,1,0.04,0.603,0,0.0585,0.466,135.94,4,0
5soihaBWFEQqCYu0HOUVzK,52,264026,0.379,0.95,1,-4.898,1,0.114,1.76e-5,0.0398,0.242,0.427,174.219,4,0
6N8ty1qH2GfD9m6bdJk1yT,19,269378,0.521,0.291,5,-13.185,1,0.0288,0.819,0,0.296,0.4,139.975,3,0
2t3aiGKuxn3slkY167QhWy,0,236990,0.542,0.68,8,-4.434,1,0.0285,0.175,0,0.093,0.878,167.966,4,1
3t5tdzQKEqI3wqHIGCdNoB,47,223406,0.44,0.472,6,-9.026,1,0.0596,0.86,0,0.968,0.548,142.288,4,1
50kqsBYacoTWaNUJ7fNEjK,48,218181,0.535,0.781,0,-6.703,1,0.0327,1.23e-4,0.344,0.0988,0.473,131.959,4,0
7s9KzKesyHu8dZyTZ5Rn1i,44,186969,0.549,0.42,4,-11.249,1,0.0319,0.754,0,0.5,0.416,96.471,4,0
0QyjGh6JOcIM1EAB7YC6QB,0,174200,0.55,0.883,7,-5.341,1,0.0615,0.0239,0,0.285,0.571,156.03,4,1
7MOjFM02bewnUpMlXc8vOJ,54,183546,0.744,0.306,9,-15.36,0,0.0684,0.667,0.148,0.0828,0.462,75.892,4,0
6q8AvEr7oG3tgmmtI6O2uS,40,174546,0.595,0.804,0,-4.511,1,0.0377,0.48,0,0.173,0.924,131.655,4,0
5D2cMPwNY9Ftb7vqInLLQK,43,207453,0.5,0.485,0,-7.94,1,0.0422,0.633,1.26e-6,0.107,0.379,109.755,4,1
2ahEb81AtAETSy8si7xb1N,0,164347,0.463,0.76,2,-5.958,1,0.11,0.0379,0,0.115,0.65,123.899,4,1
0WdLTvDQ6FD8jSkUjSvHqe,0,199226,0.378,0.441,2,-9.142,0,0.0355,0.709,0.00288,0.0887,0.158,105.905,4,1
